,U_in,I_in,P_in,U_out,I_out,P_out,n
138,31.9753,0.09966926,3.186954,9.031956,0.3239059,2.925503,0.9179622
139,31.97482,0.1038145,3.319449,9.550925,0.3179451,3.03667,0.9148113
140,31.97375,0.1080058,3.453351,10.04526,0.3132724,3.146902,0.9112605
141,31.97344,0.1122949,3.590454,10.53411,0.3091742,3.256875,0.9070927
142,31.97208,0.1168645,3.7364,11.0433,0.3054123,3.372758,0.9026759
143,31.97111,0.121391,3.881006,11.53855,0.3022061,3.48702,0.8984835
144,32.23698,0.1261584,4.066966,12.04409,0.3024067,3.642214,0.8955606
145,32.49225,0.09577931,3.112085,8.364328,0.3453742,2.888823,0.9282597
146,32.49227,0.09664438,3.140195,8.547154,0.3386769,2.894724,0.9218292
147,32.49079,0.1000903,3.252012,9.034073,0.3309301,2.989646,0.9193219
148,32.49037,0.1041438,3.383671,9.551777,0.3245646,3.100169,0.9162145
149,32.48943,0.1082846,3.518104,10.04641,0.3196852,3.211688,0.9129032
150,32.48893,0.1125154,3.655505,10.53401,0.3154496,3.322948,0.9090257
151,32.4878,0.1170703,3.803357,11.04449,0.3115428,3.440833,0.9046831
152,32.48687,0.1215653,3.949276,11.53872,0.3082596,3.556921,0.9006512
153,32.74138,0.1262918,4.134967,12.04057,0.3082943,3.712039,0.8977191
154,32.98663,0.09619282,3.173077,8.355303,0.3527515,2.947345,0.9288604
155,32.98674,0.09716638,3.205202,8.55113,0.3459061,2.957888,0.92284
156,32.98615,0.1005164,3.315648,9.035326,0.3378233,3.052343,0.9205874
157,32.9855,0.1044732,3.446102,9.552617,0.3310236,3.162142,0.9175997
158,32.98484,0.1085659,3.581031,10.04743,0.325884,3.274296,0.9143446
159,32.98423,0.1127465,3.718856,10.53239,0.3215166,3.386338,0.9105859
160,32.98321,0.1172606,3.86763,11.04078,0.3175015,3.505465,0.90636
161,32.98247,0.1218606,4.019265,11.5496,0.314013,3.626725,0.9023355
162,33.25117,0.1266016,4.209651,12.05519,0.3141401,3.787019,0.8996041
163,33.48328,0.09689623,3.244404,8.38074,0.3598456,3.015773,0.9295306
164,33.48291,0.09768742,3.270859,8.55038,0.3533154,3.020981,0.9236049
165,33.48244,0.1009453,3.379894,9.033162,0.3448963,3.115504,0.9217756
166,33.4823,0.1048353,3.510127,9.554898,0.3375806,3.225548,0.9189262
167,33.48126,0.1088418,3.644161,10.04696,0.3321545,3.337142,0.9157507
168,33.48018,0.1130203,3.783941,10.535,0.3275908,3.451168,0.9120566
169,33.48,0.1175296,3.934892,11.04645,0.3234216,3.572662,0.907944
170,33.47931,0.1219627,4.083226,11.53973,0.3199728,3.692401,0.9042853
171,33.75775,0.126866,4.282712,12.06602,0.3199991,3.861115,0.9015585
172,33.98092,0.09665027,3.284265,8.281743,0.3680567,3.048151,0.9281075
173,33.98103,0.09813844,3.334845,8.538599,0.3609203,3.081754,0.924107
174,33.98068,0.1014747,3.448178,9.041099,0.3519105,3.181658,0.922707
175,33.97987,0.1050806,3.570624,9.537906,0.344522,3.286018,0.9202924
176,33.9796,0.1091467,3.70876,10.0479,0.3384981,3.401196,0.917071
177,33.97879,0.1134019,3.853261,10.55189,0.3335788,3.519886,0.9134824
178,33.97771,0.1176663,3.998031,11.03907,0.3294941,3.63731,0.9097752
179,33.9768,0.1222394,4.153303,11.54997,0.3257751,3.762694,0.9059522
180,34.24781,0.126905,4.346218,12.05109,0.3258162,3.926441,0.9034156
181,34.49506,0.0970361,3.347266,8.263622,0.3758565,3.105936,0.9279023
182,34.49452,0.0987216,3.405354,8.543136,0.3685642,3.148694,0.9246303
183,34.49416,0.1020136,3.518875,9.044165,0.3593607,3.250117,0.923624
184,34.49351,0.1055214,3.639804,9.541697,0.3514749,3.353667,0.9213865
185,34.4933,0.1095059,3.777221,10.05216,0.3451253,3.469253,0.918467
186,34.49223,0.113581,3.91766,10.53985,0.3401047,3.584653,0.9149984
187,34.49198,0.1179967,4.069939,11.04918,0.3356719,3.708898,0.9112908
188,34.49112,0.1223458,4.219842,11.53813,0.3320186,3.830873,0.9078236
189,34.76234,0.1272193,4.422441,12.06359,0.3318112,4.002835,0.9051189
190,35.00048,0.05589532,1.956363,8.347151,0.189847,1.584682,0.8100141
191,34.98226,0.03414631,1.194515,8.526451,0.1051472,0.8965326,0.750541
192,34.98111,0.03500293,1.224442,8.989218,0.1021973,0.9186739,0.75028
193,34.98099,0.03563149,1.246425,9.504011,0.09811121,0.9324501,0.7480998
194,34.98124,0.03510642,1.228066,10.01213,0.09129985,0.9141058,0.744346
195,34.98283,0.0337196,1.179607,10.49604,0.08187442,0.8593573,0.7285116
196,34.98338,0.03192085,1.116699,11.00441,0.07058156,0.7767087,0.6955397
197,34.98515,0.02994034,1.047467,11.53133,0.05839417,0.6733625,0.6428482
198,30.30303,0.02399531,0.7271306,12.02374,0.0344165,0.4138149,0.5691068
199,24.93893,0.02425789,0.6049657,8.041935,0.05024293,0.4040504,0.6678897
200,24.93965,0.02283847,0.5695836,8.513659,0.04143527,0.3527657,0.6193397
201,24.94075,0.02150481,0.5363461,9.013613,0.03287311,0.2963055,0.552452
202,24.94158,0.02066677,0.5154617,9.506632,0.02719778,0.2585593,0.5016072
203,24.94211,0.02019869,0.5037981,10.0136,0.0220359,0.2206587,0.4379903
204,24.94226,0.01990928,0.4965826,10.50068,0.01751661,0.1839362,0.370404
205,24.94207,0.01967662,0.4907757,10.99072,0.01334359,0.1466557,0.2988242
206,24.94242,0.01951616,0.4867801,11.50248,0.01051785,0.1209814,0.2485339
207,25.2312,0.01962148,0.4950735,12.00039,0.01026386,0.1231702,0.2487919
208,25.48006,0.02514852,0.6407858,8.045286,0.0543159,0.436987,0.6819548
209,25.48139,0.02373457,0.60479,8.509308,0.04560271,0.3880475,0.6416234
210,25.48249,0.0222873,0.5679359,9.007926,0.03658172,0.3295255,0.5802159
211,25.48283,0.02124126,0.5412874,9.506683,0.02980261,0.283324,0.5234262
212,25.48385,0.0206364,0.5258951,10.03247,0.0237745,0.238517,0.4535449
213,25.48401,0.02032687,0.5180101,10.49228,0.01930761,0.2025808,0.391075
214,25.4839,0.02006896,0.5114354,10.99796,0.01480486,0.1628233,0.3183654
215,25.48405,0.01987639,0.5065308,11.50726,0.01168364,0.1344467,0.2654265
216,25.74889,0.01995382,0.5137889,12.00171,0.01151198,0.1381635,0.268911
217,25.97644,0.02595774,0.6742895,8.048282,0.05805251,0.467223,0.6929115
218,25.97765,0.02454874,0.6377186,8.513495,0.04923956,0.4192008,0.6573445
219,25.97845,0.0230287,0.5982499,9.012089,0.03968256,0.3576227,0.5977815
220,25.97958,0.02183021,0.5671395,9.504262,0.03220125,0.3060491,0.5396363
221,25.98023,0.02110288,0.5482576,10.00956,0.02600254,0.2602741,0.4747296
222,25.98023,0.02070848,0.5380111,10.50384,0.0210865,0.2214892,0.4116815
223,25.98021,0.02043334,0.5308626,11.00854,0.01619109,0.1782403,0.335756
224,25.98062,0.02022592,0.5254818,11.494,0.01313887,0.1510181,0.2873898
225,26.25158,0.0202808,0.5324029,12.01064,0.01229476,0.147668,0.2773613
226,26.47179,0.0267648,0.7085122,8.051171,0.06173891,0.4970705,0.7015694
227,26.47327,0.02534803,0.6710454,8.524074,0.05272813,0.4494585,0.6697884
228,26.47474,0.02379083,0.6298561,9.022993,0.04319951,0.3897889,0.6188539
229,26.4752,0.02244525,0.5942424,9.515676,0.03496972,0.3327605,0.5599744
230,26.47618,0.02156314,0.5709097,10.01862,0.02816982,0.2822227,0.4943386
231,26.47643,0.02111515,0.5590538,10.50228,0.02279825,0.2394336,0.4282837
232,26.47684,0.02080765,0.5509208,11.00651,0.0177367,0.1952191,0.3543506
233,26.47733,0.02058219,0.5449615,11.49477,0.01448822,0.1665388,0.3055973
234,26.74662,0.02061601,0.5514085,12.009,0.0137142,0.1646939,0.2986785
235,26.97346,0.0275588,0.743356,8.054356,0.06532923,0.5261849,0.7078504
236,26.97486,0.02619312,0.7065558,8.522558,0.05657887,0.4821967,0.6824608
237,26.97616,0.02462782,0.664364,9.018325,0.0470038,0.4238956,0.6380471
238,26.97768,0.0231584,0.62476,9.512951,0.03813191,0.362747,0.5806182
239,26.97827,0.02209168,0.5959953,10.01635,0.03052282,0.3057273,0.5129694
240,26.97836,0.02153728,0.5810406,10.50021,0.02475287,0.2599104,0.4473188
241,26.97871,0.02118137,0.5714459,11.00459,0.0195732,0.215395,0.3769298
242,26.97825,0.02094755,0.5651283,11.49265,0.01605332,0.1844952,0.3264661
243,27.25293,0.02095962,0.571211,12.00695,0.01480148,0.1777205,0.3111294
244,27.48817,0.02835883,0.7795324,8.057349,0.06903402,0.5562312,0.7135447
245,27.48906,0.02705487,0.743713,8.524315,0.06056251,0.5162539,0.6941574
246,27.49039,0.02548291,0.7005351,9.023085,0.05079797,0.4583544,0.6542919
247,27.49125,0.02393989,0.6581376,9.514528,0.04170198,0.3967747,0.602875
248,27.49197,0.02269554,0.6239452,10.01546,0.0332556,0.3330702,0.5338131
249,27.49283,0.02197487,0.6041513,10.51761,0.02673674,0.2812065,0.4654572
250,27.49313,0.02158957,0.5935649,11.0032,0.02144323,0.2359441,0.3975035
251,27.49281,0.02131905,0.5861205,11.51098,0.01758801,0.2024552,0.3454157
252,27.75691,0.02131797,0.5917211,12.00565,0.01633965,0.1961682,0.3315214
253,27.9824,0.02909445,0.8141326,8.060213,0.07257751,0.5849902,0.7185441
254,27.98361,0.02784005,0.7790651,8.539184,0.06406419,0.5470559,0.7021953
255,27.98425,0.02633236,0.7368914,9.021398,0.0546708,0.4932071,0.6693076
256,27.98497,0.02468158,0.6907133,9.531679,0.04499348,0.4288634,0.6208993
257,27.98556,0.0233456,0.6533398,10.01138,0.03634419,0.3638553,0.5569159
258,27.98689,0.02244899,0.6282775,10.51568,0.02896219,0.3045571,0.4847494
259,27.98751,0.02199468,0.6155763,11.00012,0.02334772,0.2568277,0.417215
260,27.98727,0.02168188,0.6068166,11.50875,0.0192537,0.2215859,0.3651613
261,28.24686,0.02166904,0.6120821,12.00269,0.01764951,0.2118415,0.3460999
262,28.47828,0.02978797,0.8483104,8.062892,0.07588549,0.6118565,0.7212649
263,28.47905,0.02864982,0.8159196,8.542578,0.06775034,0.5787626,0.7093378
