,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
152,33.0,12.0,75.0,32.96066,0.2741013,9.034562,12.0945,0.6799371,8.223502,0.9102269
153,33.5,8.0,75.0,32.97468,0.1873542,6.177944,8.077019,0.6937958,5.603802,0.9070658
154,33.5,8.5,75.0,32.97294,0.1983321,6.539591,8.585299,0.691981,5.940864,0.9084458
155,33.5,9.0,75.0,32.97139,0.2089714,6.890075,9.078053,0.6903479,6.267014,0.9095712
156,33.5,9.5,75.0,32.96972,0.2198981,7.24998,9.58382,0.6886346,6.599751,0.910313
157,33.5,10.0,75.0,32.96824,0.2307417,7.607145,10.0859,0.6869777,6.928789,0.9108264
158,33.5,10.5,75.0,32.96613,0.2414784,7.960607,10.58315,0.6850929,7.250444,0.9107904
159,33.5,11.0,75.0,32.96401,0.2522449,8.315001,11.08217,0.683244,7.571826,0.9106224
160,33.5,11.5,75.0,32.96267,0.2630333,8.670279,11.58202,0.6815584,7.893823,0.9104462
161,33.5,12.0,75.0,32.96111,0.2741082,9.034912,12.09478,0.6798204,8.222279,0.9100562
162,34.0,8.0,75.0,33.96926,0.1877656,6.37826,8.079314,0.7156475,5.781941,0.9065076
163,34.0,8.5,75.0,33.96704,0.1987372,6.750514,8.587603,0.7140267,6.131777,0.9083424
164,34.0,9.0,75.0,33.96525,0.2093898,7.111978,9.080891,0.7121896,6.467316,0.9093555
165,34.0,9.5,75.0,33.96384,0.2202912,7.481934,9.586096,0.7103999,6.809962,0.9101874
166,34.0,10.0,75.0,33.96197,0.2311374,7.849881,10.08809,0.7086815,7.149239,0.9107449
167,34.0,10.5,75.0,33.96048,0.2418708,8.214048,10.58531,0.7069713,7.483513,0.9110627
168,34.0,11.0,75.0,33.95836,0.2526681,8.580193,11.08493,0.7051806,7.81688,0.9110379
169,34.0,11.5,75.0,33.95744,0.2634428,8.945846,11.5844,0.7034854,8.149459,0.9109769
170,34.0,12.0,75.0,33.95543,0.2745133,9.321218,12.09693,0.7017349,8.48884,0.9107007
171,34.5,8.0,75.0,33.96887,0.1877625,6.37808,8.079546,0.7157407,5.78286,0.9066773
172,34.5,8.5,75.0,33.9671,0.19874,6.75062,8.587776,0.7138851,6.130685,0.9081662
173,34.5,9.0,75.0,33.96489,0.2093766,7.111454,9.080975,0.7121927,6.467403,0.9094348
174,34.5,9.5,75.0,33.96343,0.2202894,7.481783,9.586082,0.7104782,6.810702,0.9103047
175,34.5,10.0,75.0,33.96227,0.2311212,7.849402,10.08817,0.7087281,7.149769,0.910868
176,34.5,10.5,75.0,33.95961,0.2418533,8.213243,10.58536,0.7069526,7.483348,0.911132
177,34.5,11.0,75.0,33.95837,0.2526422,8.579318,11.08505,0.7052017,7.817194,0.9111674
178,34.5,11.5,75.0,33.95685,0.2634237,8.945038,11.5844,0.70345,8.149045,0.9110129
179,34.5,12.0,75.0,33.95481,0.2744808,9.319942,12.09689,0.7017525,8.489026,0.9108453
180,35.0,8.0,75.0,34.98098,0.1881322,6.581048,8.081395,0.73803,5.964312,0.9062859
181,35.0,8.5,75.0,34.97872,0.1991074,6.964521,8.589709,0.7361852,6.323617,0.9079759
182,35.0,9.0,75.0,34.97681,0.2097625,7.336823,9.08351,0.7344067,6.67099,0.9092478
183,35.0,9.5,75.0,34.97563,0.2206402,7.71703,9.588168,0.7328518,7.026706,0.9105455
184,35.0,10.0,75.0,34.97379,0.2314882,8.096017,10.09029,0.7310019,7.37602,0.9110678
185,35.0,10.5,75.0,34.97212,0.2422155,8.47079,10.58754,0.7292775,7.721254,0.9115153
186,35.0,11.0,75.0,34.96989,0.2530073,8.847636,11.08724,0.7274916,8.06587,0.9116412
187,35.0,11.5,75.0,34.9687,0.2637669,9.223584,11.58632,0.7257697,8.409002,0.9116849
188,35.0,12.0,75.0,34.96676,0.2748366,9.610145,12.0989,0.72408,8.76057,0.911596
189,25.0,8.0,80.0,34.98002,0.191875,6.711792,8.08258,0.7488923,6.052982,0.9018429
190,25.0,8.5,80.0,34.97794,0.2030591,7.10259,8.59072,0.7470355,6.417573,0.903554
191,25.0,9.0,80.0,34.97638,0.2139423,7.482927,9.084638,0.745403,6.771716,0.9049555
192,25.0,9.5,80.0,34.97394,0.2250632,7.871346,9.589201,0.7435352,7.129909,0.9058055
193,25.0,10.0,80.0,34.97254,0.236121,8.257751,10.09137,0.7418526,7.486306,0.9065793
194,25.0,10.5,80.0,34.97131,0.2470832,8.640823,10.58859,0.7402244,7.837934,0.9070818
195,25.0,11.0,80.0,34.96914,0.258102,9.025602,11.08853,0.7383651,8.187385,0.9071289
196,25.0,11.5,80.0,34.96762,0.2690887,9.40939,11.58764,0.7366745,8.536321,0.907213
197,25.0,12.0,80.0,34.96614,0.2803761,9.80367,12.09991,0.7350281,8.893772,0.907188
198,25.5,8.0,80.0,25.47509,0.1886646,4.806248,8.093528,0.5342587,4.324038,0.8996701
199,25.5,8.5,80.0,25.47312,0.1998324,5.090354,8.599952,0.5325401,4.57982,0.8997054
200,25.5,9.0,80.0,25.47124,0.2106573,5.365701,9.09147,0.5308664,4.826356,0.8994829
201,25.5,9.5,80.0,25.46957,0.2218638,5.650775,9.600056,0.5291965,5.080316,0.8990476
202,25.5,10.0,80.0,25.46768,0.2329195,5.93192,10.10148,0.5274668,5.328196,0.8982245
203,25.5,10.5,80.0,25.46601,0.2439044,6.211272,10.59972,0.5257464,5.572763,0.8972016
204,25.5,11.0,80.0,25.46429,0.2548451,6.489452,11.09582,0.5240304,5.814547,0.8959997
205,25.5,11.5,80.0,25.46201,0.265918,6.770807,11.59812,0.5223482,6.058256,0.8947613
206,25.5,12.0,80.0,25.46139,0.2772017,7.057941,12.10977,0.5207189,6.305785,0.8934313
207,26.0,8.0,80.0,25.47505,0.1886592,4.806103,8.09351,0.5342793,4.324194,0.8997298
208,26.0,8.5,80.0,25.47303,0.1998286,5.090241,8.600031,0.5325524,4.579967,0.8997545
209,26.0,9.0,80.0,25.47186,0.2106716,5.366199,9.091483,0.5308648,4.826349,0.8993981
210,26.0,9.5,80.0,25.46969,0.2218784,5.651174,9.600204,0.5291866,5.0803,0.8989813
